t,dt,gamma,omega,Wg,Wphi,Wapar,energy,heat_flux,particle_flux,heat_flux_s0,particle_flux_s0
1.185564575195312500e+02,4.842131957411766052e-02,-3.940171023402843503e-02,4.172628272105213115e-02,1.236242982650293101e+02,1.526100802658779898e+00,0.000000000000000000e+00,1.251503990676880846e+02,6.098612650417449821e+00,0.000000000000000000e+00,6.098612650417449821e+00,0.000000000000000000e+00
1.210400772094726562e+02,5.146247521042823792e-02,-2.738805483602022722e-02,3.280486333255519527e-02,1.263167081296735432e+02,1.613279172915083270e+00,0.000000000000000000e+00,1.279299873025886285e+02,6.030014072820143234e+00,0.000000000000000000e+00,6.030014072820143234e+00,0.000000000000000000e+00
1.235659255981445312e+02,4.680852964520454407e-02,3.347484277848649867e-03,1.379828065346666403e-02,1.261662879714659908e+02,1.615071723462217612e+00,0.000000000000000000e+00,1.277813596949282129e+02,5.785584486779445257e+00,0.000000000000000000e+00,5.785584486779445257e+00,0.000000000000000000e+00
1.258909606933593750e+02,4.999708756804466248e-02,-6.234455311212280110e-02,5.730287172193024303e-02,1.234698312197078138e+02,1.554948991049916796e+00,0.000000000000000000e+00,1.250247802107577257e+02,5.433772936414955623e+00,0.000000000000000000e+00,5.433772936414955623e+00,0.000000000000000000e+00
1.284497528076171875e+02,5.161840841174125671e-02,-7.252925876998662924e-02,1.882602501708936227e-01,1.192586323534292774e+02,1.475291679853714788e+00,0.000000000000000000e+00,1.207339240332829888e+02,5.305386598365479323e+00,0.000000000000000000e+00,5.305386598365479323e+00,0.000000000000000000e+00
1.309974365234375000e+02,5.124795809388160706e-02,-9.003775667331870292e-02,3.674651945047165136e-02,1.173222505375078129e+02,1.454935592134069422e+00,0.000000000000000000e+00,1.187771861296418763e+02,5.369424898552998648e+00,0.000000000000000000e+00,5.369424898552998648e+00,0.000000000000000000e+00
1.336163330078125000e+02,5.350238457322120667e-02,-1.258369777459330263e-01,-3.962028119726157538e-02,1.170289696609926011e+02,1.449351068364067352e+00,0.000000000000000000e+00,1.184783207293566676e+02,5.469412742887477030e+00,0.000000000000000000e+00,5.469412742887477030e+00,0.000000000000000000e+00
1.361907958984375000e+02,5.165691673755645752e-02,-5.346864930006772765e-01,2.724202482638512501e-01,1.183534266575209983e+02,1.455029386294186988e+00,0.000000000000000000e+00,1.198084560438151840e+02,5.598049172118122030e+00,0.000000000000000000e+00,5.598049172118122030e+00,0.000000000000000000e+00
1.387366638183593750e+02,4.999958351254463196e-02,2.183086521409243752e-01,-1.329237028107494334e+00,1.208234184761851964e+02,1.455148282767409373e+00,0.000000000000000000e+00,1.222785667589526071e+02,5.871382053971252901e+00,0.000000000000000000e+00,5.871382053971252901e+00,0.000000000000000000e+00
1.413108978271484375e+02,5.119929835200309753e-02,3.728337609139040915e-02,-1.360352213049610126e-01,1.246081583835379121e+02,1.499781366848555342e+00,0.000000000000000000e+00,1.261079397503864641e+02,5.846216468321523863e+00,0.000000000000000000e+00,5.846216468321523863e+00,0.000000000000000000e+00
1.438628845214843750e+02,5.121413245797157288e-02,3.382740293220071748e-01,-9.499345770639076869e-02,1.260912926866186297e+02,1.532919453376710095e+00,0.000000000000000000e+00,1.276242121399953362e+02,5.787907242105202243e+00,0.000000000000000000e+00,5.787907242105202243e+00,0.000000000000000000e+00
1.464096679687500000e+02,5.056801438331604004e-02,2.597554214804103645e-01,1.035209372482988333e-01,1.266579426959597328e+02,1.515418814275260484e+00,0.000000000000000000e+00,1.281733615102349972e+02,5.882053910243525863e+00,0.000000000000000000e+00,5.882053910243525863e+00,0.000000000000000000e+00
